Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa Eastern and Southern,AFE,780000,784000,785000,784000,783000,784000,786000,781000,779000,772000,773000,796000,779000,731000,712000,699000,674000,627000,632000,687000,675000,656000,645000,641000,649000,661000,671000,673000,691000,756000,811000
Afghanistan,AFG,1065000,1082000,1072000,1073000,1118000,1096000,1078000,1080000,1081000,1081000,1081000,1126000,1114000,1099000,1122000,1110000,1130000,1109000,1131000,1135000,1105000,1134000,1119000,1114000,1113000,1116000,1118000,1115000,1122000,1171000,1328000
Africa Western and Central,AFW,442000,453000,455000,454000,453000,457000,460000,466000,486000,492000,487000,478000,475000,473000,473000,465000,463000,460000,458000,455000,455000,464000,441000,469000,463000,557000,602000,604000,606000,677000,684000
Angola,AGO,421000,421000,423000,416000,411000,410000,409000,407000,405000,403000,400000,396000,396000,392000,388000,386000,382000,379000,378000,943000,736000,735000,737000,737000,739000,741000,741000,742000,742000,833000,853000
Albania,ALB,1031000,3001000,2526000,2084000,1461000,1393000,1688000,2005000,2084000,1903000,1858000,1790000,1699000,1631000,1597000,1563000,1597000,1306000,1367000,1409000,1348000,1338000,1587000,1805000,1719000,1542000,1362000,1230000,1147000,1333000,1182000
Arab World,ARB,1162000,1212000,1286000,1295000,1332000,1238000,1195000,1197000,1211000,1260000,1247000,1247000,1239000,1135000,1120000,1043000,1003000,972000,933000,940000,1048000,1066000,1074000,1087000,1097000,1076000,1090000,1050000,1001000,1149000,1163000
United Arab Emirates,ARE,187000,184000,185000,181000,180000,190000,198000,214000,222000,225000,249000,265000,275000,291000,312000,294000,287000,274000,268000,248000,230000,218000,204000,191000,177000,164000,246000,235000,223000,319000,336000
Argentina,ARG,544000,636000,1010000,1176000,1880000,1711000,1482000,1265000,1405000,1500000,1732000,1959000,1536000,1352000,1151000,1008000,847000,784000,865000,771000,718000,722000,710000,727000,752000,811000,835000,922000,984000,1146000,1090000
Armenia,ARM,160000,180000,530000,660000,670000,930000,1080000,940000,1120000,1105000,1091000,1078000,1059000,1034000,1020000,1000000,981000,1439000,1844000,1901000,1844000,1730000,1618000,1750000,1826000,1762000,1770000,1897000,1830000,2121000,2090000
Australia,AUS,958000,1073000,1087000,972000,847000,851000,836000,768000,687000,628000,674000,637000,593000,539000,503000,478000,438000,423000,556000,521000,508000,522000,566000,608000,605000,571000,559000,530000,516000,646000,511000
Austria,AUT,342000,359000,425000,354000,435000,528000,515000,552000,470000,469000,401000,485000,478000,583000,563000,524000,486000,413000,530000,482000,456000,487000,533000,562000,572000,601000,550000,485000,449000,536000,630000
Azerbaijan,AZE,90000,180000,450000,630000,720000,810000,910000,1000000,1090000,1178000,1091000,1004000,917000,799000,726000,662000,633000,586000,574000,563000,542000,519000,497000,491000,496000,500000,500000,490000,485000,646000,658000
Burundi,BDI,151000,153000,156000,156000,158000,159000,157000,156000,158000,159000,159000,159000,161000,160000,162000,161000,163000,163000,162000,161000,160000,159000,158000,157000,160000,159000,159000,159000,159000,171000,179000
Belgium,BEL,699000,670000,808000,965000,934000,948000,896000,932000,865000,659000,618000,691000,768000,736000,844000,825000,746000,698000,791000,829000,714000,754000,843000,852000,848000,783000,709000,595000,536000,555000,642000
Benin,BEN,149000,151000,141000,136000,125000,118000,110000,102000,94000,85000,77000,69000,74000,77000,0.82,86000,89000,94000,100000,104000,265000,247000,229000,213000,201000,183000,164000,147000,147000,158000,157000
Burkina Faso,BFA,258000,261000,258000,258000,253000,247000,247000,244000,251000,261000,265000,273000,278000,341000,400000,365000,330000,341000,356000,364000,379000,391000,405000,419000,432000,443000,456000,469000,469000,489000,476000
Bangladesh,BGD,220000,233000,236000,238000,248000,251000,269000,290000,306000,327000,362000,390000,432000,426000,425000,359000,413000,457000,500000,338000,377000,412000,443000,438000,437000,435000,437000,441000,444000,541000,523000
Bulgaria,BGR,1110000,1530000,1640000,1280000,1110000,1250000,1370000,1220000,1410000,1622000,1992000,1811000,1373000,1204000,1008000,895000,688000,561000,682000,1028000,1126000,1227000,1294000,1142000,914000,757000,616000,521000,423000,512000,542000
Bahrain,BHR,101000,105000,101000,111000,108000,108000,109000,108000,109000,108000,11120000,111000,109000,109000,109000,11,109000,111000,114000,113000,118000,120000,118000,119000,120000,119000,118000,120000,120000,178000,187000
"Bahamas, The",BHS,1217000,1481000,1272000,1383000,1083000,1146000,976000,765000,745000,720000,687000,905000,1084000,1020000,1020000,754000,788000,818000,1425000,1431000,1452000,1402000,1618000,1380000,1200000,1270000,980000,1000000,1006000,1332000,1324000
